Var1,Var2,Var3,Var4,Var5,Var6
02261653520502,human_9_exo_load,1.6,base,0,0.0610402223611155
02261723420111,human_9_exo_load,2.0754,hip,1,0.0569095104989457
02261704050112,human_9_exo_load,2.0754,hip,0,0.000108265808033508
02261718130211,human_9_exo_load,2.1,hip,1,3.59567121536588
02261751210212,human_9_exo_load,2.1,hip,0,0.00671616272019539
02261725230311,human_9_exo_load,2.2,hip,1,17.7717029272307
02261741490312,human_9_exo_load,2.2,hip,0,0.000303284740590717
02261737400411,human_9_exo_load,1.8,hip,1,0.0232295494149333
02261747160412,human_9_exo_load,1.8,hip,0,0.000105538181530338
02261750270511,human_9_exo_load,1.6,hip,1,0.0325428089904885
02261746440512,human_9_exo_load,1.6,hip,0,0.00416854586886452
02261738320121,human_9_exo_load,2.0754,knee,1,0.0932294076592516
02261743240122,human_9_exo_load,2.0754,knee,0,0.034992517808267
02261738030221,human_9_exo_load,2.1,knee,1,0.139996508036978
02261744100222,human_9_exo_load,2.1,knee,0,0.000146754492821743
02261744330321,human_9_exo_load,2.2,knee,1,0.0331824908722249
02261745310322,human_9_exo_load,2.2,knee,0,0.000147353829105464
02261744100421,human_9_exo_load,1.8,knee,1,0.0110897346173226
02261750270422,human_9_exo_load,1.8,knee,0,0.459751149214266
02261804300521,human_9_exo_load,1.6,knee,1,0.203799414215499
02261751010522,human_9_exo_load,1.6,knee,0,1.42915934028259
02261724270131,human_9_exo_load,2.0754,ank,1,0.0380114974740606
02261811420132,human_9_exo_load,2.0754,ank,0,0.00108201794844202
02261752220231,human_9_exo_load,2.1,ank,1,0.0474717506315731
02261757080232,human_9_exo_load,2.1,ank,0,0.000105055171896626
02261741460331,human_9_exo_load,2.2,ank,1,0.260191359623331
02261802230332,human_9_exo_load,2.2,ank,0,0.0120277842735002
02261802180431,human_9_exo_load,1.8,ank,1,0.00197379803298567
02261754000432,human_9_exo_load,1.8,ank,0,0.00551311330874522
02261747390531,human_9_exo_load,1.6,ank,1,0.0136495015913199
02261745320532,human_9_exo_load,1.6,ank,0,0.0116611972057473
02261754390141,human_9_exo_load,2.0754,hk,1,0.281613830022353
02261752290142,human_9_exo_load,2.0754,hk,0,6.0921745976853
02261752280241,human_9_exo_load,2.1,hk,1,0.101667586816532
02261750530242,human_9_exo_load,2.1,hk,0,0.000739040535929505
02261745390341,human_9_exo_load,2.2,hk,1,0.0032952609967606
02261810120342,human_9_exo_load,2.2,hk,0,148.346015019742
02261745050441,human_9_exo_load,1.8,hk,1,0.0228613326843104
02261746380442,human_9_exo_load,1.8,hk,0,0.0154704934194696
02261753050541,human_9_exo_load,1.6,hk,1,0.198577462058263
02261754170542,human_9_exo_load,1.6,hk,0,0.421785451118306
02261743370151,human_9_exo_load,2.0754,ha,1,0.000149046217235263
